element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Ga,-1.0913265,-0.10440955,-0.744533,0.9537933,0.044809032,-0.38713026,0.6105088,-0.08078726,0.26127988,0.6117308,0.1778241,-0.061132457,0.61979705,0.53067327,0.28423828,-0.4819349,-0.042900283,0.3791607,-0.72764957,-0.052257843,0.030200295,0.16188064,-0.09306668,-0.12036802,0.1345612,0.0038546566,0.3773038,-0.032778494,0.20345442,-0.09497195,0.049460366,0.020728536,0.23708552,-0.1333611,0.29788193,-0.61877716,0.23857826,0.15639909,0.22875002,-0.3848535,-0.024955764,0.14913961,0.087883644,0.0033466667,-0.16796644,-0.24704891,-0.2019163,0.13358086,0.20042546,0.27027458
Ge,-0.26719898,0.018144157,-0.14591707,1.2749674,0.21299991,-0.07728596,0.22788128,-0.003190659,0.4863512,-0.3246429,0.23866454,0.5553671,0.3327632,0.5030121,1.873775,-0.46826196,0.27962077,0.27843314,-0.59584284,-0.5817189,-0.9805064,-0.09547024,-0.20996991,0.18195406,0.015408039,0.21098101,-0.5151752,0.03773188,-0.082313724,-0.11746439,0.045724347,-0.031396016,-0.20255876,-0.20107272,-0.23905796,0.48834535,-0.14540055,0.34891897,-0.24211107,-0.27223766,0.13933808,0.044579275,-0.0024984777,0.3447045,0.047369324,0.23227987,0.080679916,0.08781404,-0.076780446,-0.07930015
As,-0.64521366,0.5773475,-1.0660313,-0.45823407,-0.37008092,0.43343118,0.4342025,0.7169191,0.72891796,-0.8777561,-0.038899746,-0.07815698,-0.28812462,0.6381593,-0.37885728,-0.44983193,-0.62356913,-0.25997385,0.13816188,0.41602418,-0.7524285,0.1477513,0.13450888,-0.3125895,0.12069444,-0.031034056,-0.1196686,-0.26399902,-0.19724162,-0.28519616,0.45758504,-0.4406911,-0.6201138,0.117431834,-0.109086245,-0.1941337,-0.08746253,-0.07595821,0.35426104,0.20235503,0.20722462,0.12982881,-0.35646674,0.2080688,0.32625166,0.038775593,0.04742992,0.118902825,0.09793438,-0.18881905
Se,-0.59654355,-0.056770504,-0.26842174,0.07593787,-0.02527206,0.7629931,-0.12938634,-0.17496902,0.03721841,-0.9492054,0.20433319,0.7514647,-0.020006659,-0.673114,0.110285945,-0.13782461,0.10464683,0.31382027,-0.8174389,-0.04705215,-0.020745743,-0.3323943,0.2007949,-0.26218274,-0.39430583,0.07083483,0.17252193,0.2927816,0.63371646,-0.029332776,0.09607487,0.05523573,0.25932226,0.22668862,0.044917203,-0.115561,-0.16308203,-0.516256,-0.0041480917,-0.3495521,0.043584317,-0.14969802,0.14945652,0.4079643,0.37347993,0.08641019,-0.25214258,0.060547456,-0.1737603,0.08510116
Br,0.51793575,1.8381274,-1.5630652,-1.0865726,-0.9243089,0.03409324,0.9450351,-0.37014714,-0.58540815,0.5167029,-0.59042716,0.23035759,-0.20757486,0.25614908,0.43725663,-0.3330328,-0.45491773,0.5688162,0.3509746,0.37747836,-0.16257155,-0.024887383,0.53035384,0.10317437,-0.024366796,0.4567247,-0.21918795,0.19721474,0.036618322,-0.23512231,-0.26733264,0.1225195,0.31463528,0.2685907,0.20968215,-0.011108357,0.21788499,0.14695767,-0.03193641,-0.10626742,-0.002796568,0.097824484,0.39551044,-0.50617,0.19810157,0.46984965,0.103516206,-0.18297115,-0.28289545,0.26510096
Kr,-0.46793142,-0.8246287,-0.27485347,0.03333573,0.6808152,0.5948186,0.08908507,-0.700832,-0.6586158,0.8573722,-0.04920288,0.27471024,0.37877977,0.07985728,0.022732373,-0.2332452,-0.55285037,-0.5712723,0.32327777,-0.6620545,-0.10711009,0.03733137,0.10452856,0.06510277,0.23758596,0.31271648,-0.447558,0.24357043,-0.15602371,0.28377122,0.148418,-0.5290401,-0.390662,-0.14689514,-0.012346245,-0.2931037,0.37167302,0.1487699,0.13110587,0.15787432,0.28305018,0.46505034,-0.03674896,0.037025087,0.17184608,0.2078968,-0.11309756,0.57587194,0.20737144,-0.07142444
Rb,-0.20001787,-0.07287374,-0.29407305,-0.56819636,-0.71804136,-0.25650364,0.26731285,-0.89441395,0.15169357,0.0126116,0.15681542,0.6369146,0.21349531,-0.7618327,-0.26351434,0.065186016,0.2817434,-0.18259564,0.19239847,0.5176294,0.26132974,0.029260296,-0.2659906,0.11748705,0.23482513,-0.12200896,-0.057618417,0.19584413,-0.24427569,0.3710354,0.09206986,0.24899077,-0.49106902,0.37072337,-0.3146484,-0.18511203,-0.07442083,0.27223003,0.17487773,-0.29782856,0.24810728,-0.08195705,0.28552344,0.3728789,0.12865607,0.1592017,-0.12374805,0.09607102,0.38728774,0.1875053
Sr,-0.50447834,-0.3560853,-0.1020172,-0.7621566,-0.09805939,-0.6179441,0.43570447,-1.1183605,0.09003116,-0.9196147,0.30225268,0.2414614,0.16231228,0.12702504,-0.13949905,0.4380347,0.072958924,-0.012750883,-0.33293116,-0.5102184,0.34525466,-0.043796238,0.3328259,0.24861324,0.45474246,-0.1202693,-0.17085429,0.5457001,-0.48219526,0.17981878,-0.3181771,-0.5473052,-0.49796617,0.19542852,0.13204056,0.0033509284,-0.05912178,-0.026074681,0.16207574,-0.05598446,0.07387515,-0.11169543,-0.0077858735,-0.29789868,-0.077586286,-0.2869665,0.08720268,-0.41179734,0.18096557,-0.06877975
Y,0.14912404,0.63944745,0.755347,-0.46744233,0.71415085,-0.8531758,-0.9057874,-0.45745403,0.48825657,0.22153944,0.07818947,-0.458447,0.68898255,0.4430177,0.38612726,0.2326232,-0.22663277,-0.9195618,0.07526724,0.24772356,-0.43447268,-0.24747983,0.14674759,0.23214692,0.17574804,-0.428536,0.0628733,0.19068314,-0.25313708,-0.10616075,0.33752957,-0.30340475,0.6595013,-0.24688715,-0.06658366,-0.3087709,-0.020156866,0.007674873,-0.08553323,-0.36515743,-0.13312693,0.24413285,0.08318676,-0.005994264,-0.288872,-0.102775425,0.22800936,0.1098387,-0.027724536,0.08421028
Zr,-0.7915567,-0.22344908,0.2807947,0.73025733,-0.13029717,-0.05628717,-0.19526193,0.20335796,-0.3135277,0.75452626,0.36544812,-0.5204145,-0.20531882,0.20353433,0.41640687,0.035184562,0.5295695,0.074345216,0.25965035,-0.00744655,0.21404913,0.18527594,0.25694367,0.43280524,0.28424123,-0.20078796,-0.1688501,0.2250688,-0.06186549,0.28029504,0.029717725,0.0856229,-0.25417775,-0.21635595,-0.071589135,-0.13009858,-0.07095228,-0.0026203706,0.006754212,0.007076645,-0.34461316,-0.25615066,-0.1436909,0.14870006,-0.17403406,0.26269913,-0.2641614,0.02855664,0.009542957,-0.007645297
